Sensor 1 | count: 16 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 17 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 18 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 19 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 20 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 21 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 22 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 23 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 24 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 25 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 26 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 27 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 28 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 29 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 30 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 31 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 32 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 33 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 34 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 35 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 36 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 37 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 38 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 39 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 40 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 41 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 42 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 43 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 44 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 45 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 46 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 47 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 48 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 49 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 50 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 51 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 52 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 53 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 54 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 55 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 56 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 57 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 58 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:33
Sensor 1 | count: 59 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 60 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 61 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 62 | 11.90°C | LQI: 55 | dbm: -79.25 | short addr: 00:33
Sensor 1 | count: 63 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 64 | 11.90°C | LQI: 76 | dbm: -71.90 | short addr: 00:33
                                                                         
